,sentense,class
561,ساعت تهران الان چند است,3
562,ساعت تبریز الان چند است,3
563,چه مدت زمان تا ساعت ۱۷ باقی مانده است,3
564,ساعت یزد الان چند است,3
565,ساعت ۶ قدیم است یا جدید,3
566,ساعت تهران الان چند است,3
567,ساعت تبریز الان چند است,3
568,چه مدت زمان تا ساعت ۱۷ باقی مانده است,3
569,ساعت یزد الان چند است,3
570,ساعت ۶ قدیم است یا جدید,3
571,ساعت تهران الان چند است,3
572,ساعت تبریز الان چند است,3
573,اکنون در لندن ساعت چند است,3
574,لندن الان چه ساعتی هستش,3
575,فکر میکنی الان لندن صبح شده است,3
576,مونیخ الان ظهر است.,3
577,اونجا ساعت چنده,3
578,آیا شیکاگو الان مثل تهران روز است,3
579,اختلاف ساعت تهران با تورنتو و ونکوور یه مقداره,3
580,فاصله ی ساعت رسمی ایران با ساعت مبداء چقدر است,3
581,الان در مشهد ساعت چند است,3
582,آیا الان در ترکمنستان صبح است,3
583,دو ساعت دیگر چه زمانی از روز در کشور افغانستان است,3
584,آیا فاصله ی زمانی ساعت رسمی ایران و عراق نیم ساعت است,3
585,ساعت الان در کابل چنده,3
586,فاصله زمانی شما با زمان گرینویچ چقدر است,3
587,ساعت در فرانسه چند است,3
588,چند بازه زمانی در آمریکا داریم,3
589,ساعت الان در کابل چنده,3
590,فاصله زمانی شما با زمان گرینویچ چقدر است,3
591,ساعت در فرانسه چند است,3
592,چند بازه زمانی در آمریکا داریم,3
593,ساعت الان در کابل چنده,3
594,فاصله زمانی شما با زمان گرینویچ چقدر است,3
595,ساعت در فرانسه چند است,3
596,چند بازه زمانی در آمریکا داریم,3
597,ساعت بیدگل الان چند است,3
598,اختلاف زمانی ویندوز و لینوکس با هربار عوض شدن چند ساعت است,3
599,در لس‌آنجلس در چه زمانی از روز هستیم,3
600,دوست دارید الان چه ساعتی از شبانه روز باشد,3
601,ساعت بیدگل الان چند است,3
602,اختلاف زمانی ویندوز و لینوکس با هربار عوض شدن چند ساعت است,3
603,در لس‌آنجلس در چه زمانی از روز هستیم,3
604,دوست دارید الان چه ساعتی از شبانه روز باشد,3
605,ساعت رسمی مالزی در حال حاضر چند است,3
606,اختلاف زمانی مشهد و فیلیپین چقدر است,3
607,الان در فنلاند چه زمانی است,3
608,اختلاف ساعت میان دو شهر هانبورگ آلمان و سالوادور برزیل چقدر است,3
609,اختلاف ساعت ایران و ترکیه چقدر است,3
610,در مسکو الان ساعت چند است,3
611,اختلاف زمانی تهران با نیویورک چقدر است,3
612,نیمه شب توکیو مصادف چه زمانی در کرمانشاه است,3
613,در مسکو الان ساعت چند است,3
614,اختلاف زمانی تهران با نیویورک چقدر است,3
615,نیمه شب توکیو مصادف چه زمانی در کرمانشاه است,3
616,یازده قدیم یا یازده جدید,3
617,ساعتِ چند کلاس داری,3
618,الان ساعت مشهد چند است,3
619,اختلاف ساعت ایران با ترکیه چقدر است,3
620,الان در بالی ساعت چند است,3
621,الان در هند چه زمانیست,3
622,چند ساعت تا غروب مانده,3
623,تهران چند ساعت با کابل اختلاف زمانی دارد,3
624,برای پرکردن فرم، چقدر زمان لازم است,3
625,الان ساعت در تهران چند است,3
626,با استرالیا چند ساعت اختلاف داریم,3
627,ساعت چند می‌رسی خونه,3
628,مهمونی چند ساعت طول می‌کشه,3
629,کلاس از چه ساعتیه تا چه ساعتی,3
630,شبا کی می‌خوابی,3
631,چرا بین ایران و کشور هایی اروپایی حداقل سه و نیم ساعت اختلاف زمانی داریم,3
632,چرا هیچ اختلاف زمانی بین دو کشور فرانسه و اسپانیا نداریم,3
633,الان در پکن الان  ظهر است,3
634,الان اونجا ساعت چنده,3
635,چرا گرینویچ مهمترین ساعته,3
636,اختلاف ساعت تهران و لندن چقدر است,3
637,اختلاف ساعات سانتا آنا و شیراز چقدر هستش,3
638,ساعت چنده,3
639,منطقه زمانی چین کدومه,3
640,کدوم کشور همین الان نسبت به ایران تاریخ متفاوتی داره,3
641,وقت چقدر میرزه,3
642,الان که اینجا شبه اونجا روزه,3
643,"دیروز چقدر کیف داد
امروز شهر قشنگ شده.
فردا چیکار کنیم",3
644,پارسال بهار دسته جمعی رفته بودیم زیارتxD,3
645,ساعت کرج الان چند است,3
646,اختلاف زمانی اردکان و لیسبون چقدر است,3
647,ساعت ابوظبی با ساعت جهانی چقدر اختلاف دارد,3
648,آیا در بیروت، ساعت از دوازده نیمه‌شب گذشته است,3
649,الان در ونکوور ساعت چند است,3
650,الان تو لندن ساعت چنده,3
651,ساعت ساحل شرقی آمریکا چند است,3
652,اختلاف ساعت تهران و تورنتو چقدر است,3
653,الان در لندن شب است یا روز,3
654,در چه ساعتی از روز میتوانم با دوستم در آمریکا صحبت کنم,3
655,الان در برلین ساعت چند است,3
656,چند ساعت دیگر در استرالیا صبح میشود,3
657,ساعت هشت صبح تهران چه ساعتی در مونیخ است,3
658,اختلاف ساعت تهران با سیدنی چند ساعت است,3
659,الان در سیدنی چه ساعتی است,3
660,الان شب است یا روز,3
661,ساعت آمریکا چند است,3
662,الان ساعت gmt چند است,3
663,اختلاف ساعت ترکیه و ایران چقدر است,3
664,الان در آمریکا شب است یا روز,3
665,در قطب جنوب ساعت چنده,3
666,اختلاف ساعت شرق و غرب آمریکا چقدره,3
667,اختلاف ساعت تهران با پاریس در نیمه ی دوم سال چقدر است,3
668,مسکو چند ساعت عقب یا جلو تر از استانبول است,3
669,طلوع آفتاب در برلین امروز چه ساعتی است,3
670,اختلاف ساعت تهران با پاریس در نیمه ی دوم سال چقدر است,3
671,مسکو چند ساعت عقب یا جلو تر از استانبول است,3
672,طلوع آفتاب در برلین امروز چه ساعتی است,3
673,ساعت چنده,3
674,ساعت در کالیفرنیا چند است,3
675,آیا در تورنتو نیمه شب است,3
676,تفاوت ساعت آمریکا با ایران چقدر است,3
677,اختلاف ساعت ما با اروپا چقدر است,3
678,آمریکا ساعت چند است,3
679,بیشترین تفاوت ساعت با ایران مربوط به کجاست,3
680,امروز چندمه,3
681,اختلاف ساعت در شهر های امریکا چقدر است,3
682,ساعت الان در چین چند است,3
683,اختلاف ایران و کانادا چند ساعت است,3
684,خانومی ساعتی چند,3
685,اون ور آب ساعتی چنده,3
686,اصلا ساعت چنده,3
687,جناب ساعت چنده,3
688,تهران با گرینویچ چند ساعت اختلاف دارد,3
689,شانگهای چند ساعت از تهران جلوتر است,3
690,پاریس چند ساعت از توکیو عقب تر است,3
691,الان در تگزاس روز است یا شب,3
692,خورشید کِی طلوع می کند,3
693,ایا الان در مکزیک نیمه شب است,3
694,ما با انگلستان چه قدر اختلاف زمانی داریم,3
695,به نظرت الان در توکیو صبح شده,3
696,در ملبورن الان وسط روز است,3
697,اگر الان ۶ باشه فردا کی ساعت ۶ میشه,3
698,الان در ایروان ساعت چند است,3
699,آیا الان در کابل ظهر است,3
700,در سنندج آفتاب چه ساعتی غروب می کند,3
701,الان مردم اونور دنیا دارن چیکار میکنن,3
702,وقتی من دارم به کلاسای آنلاین کسشر گوش میدم، جایی مثل آمریکا که شبه چند نفر دارن واسه همدیگه میخورن,3
703,چند نفر دارن به قتل میرسن,3
704,چند نفر به دنیا میان,3
705,جالبه دونستن اینا.,3
706,ساعت چنده,3
707,الان تو تورنتو شبه یا روز,3
708,اختلاف زمانی تهران و مسکو چقدر است,3
709,الان ساعت در کالیفرنیا چند است,3
710,اختلاف زمانی میان شمالی ترین و جنوبی ترین ایالت آمریکا چقدر است,3
711,اگر در تهران ساعت 8 شب باشد در سیدنی ساعت چند است,3
712,ساعت لندن الان چند است,3
713,الآن نیویورک چه ساعتیه,3
714,الآن ونکوور شبه,3
715,ساعت هفت ما می‌شه چند لندن,3
716,چند ساعت دیگه می‌رسیم,3
717,امروز کی کلاس داری,3
718,اختلافِ ساعتِ ایران با آمریکا حدوداً چند ساعته,3
719,فردا ساعتِ چند باید این‌جا باشم,3
720,می‌شه نیم ساعت قبل از رفتنت به من خبر بدی,3
721,اختلاف زمان ژاپن و ایران چقدر است,3
722,الان سئول ساعت چنده,3
723,الان شیلی ساعت چنده,3
724,اگه یه روز برم آفریقا اختلاف ساعتش با ایران چقدره,3
725,چقدر به ساعت دو مونده,3
726,نه ساعت دیگه ساعت چنده,3
727,وقت محلی نیویورک,3
728,الان ساعت چنده,3
729,ساعت تو واشینگتن چنده,3
730,الان تو استرالیا روز هست,3
731,چقد با شما اختلاف ساعت داریم,3
732,اونا ۴ ساعت از ما جلوتر هستن,3
733,اختلاف ساعتی تهران و کالیفرنیا چقدر است,3
734,الان در مسکو شب است یا روز,3
735,فردا چه روزی از ماه دسامبر است,3
736,ساعت پکن اکنون چند است,3
737,اختلاف ساعتی تهران و کالیفرنیا چقدر است,3
738,الان در مسکو شب است یا روز,3
739,فردا چه روزی از ماه دسامبر است,3
740,ساعت پکن اکنون چند است,3
741,کی بیام,3
742,میلاد پیامبر چه زمانی است,4
743,امروز چندمه,4
744,چند روز مونده تا عید,4
745,وقت دکترت واسه چند شنبه بود,4
746,تعطیلی بعدی کیه,4
747,سیزده مهر چند شنبست,4
748,چهارشنبه ۸ آذر,4
749,تاریخ وفات امام خمینی(ره) چه است,4
750,تاریخ پیروزی جمهوری اسلامی چیست,4
751,شاه کی ایران را ترک کرد,4
752,امام خامنه‌ای (ره) در چه تاریخی رهبر ایران شد,4
753,امام خمینی در چه تاریخی ایران را ترک می‌کند,4
754,امروز چندم ماه است,4
755,این ماه چند روز دارد,4
756,تاریخ امروز به میلادی چیست,4
757,سه شنبه چندم ماه است,4
758,هفته دیگر,4
759,رحلت پیامبر چه روزی است,4
760,ولادت حضرت علی چه روزی است,4
761,مبعث در کدام ماه قمری قرار دارد,4
762,تولد تو کی است,4
763,آخرین جمعه این ماه چه تاریخی خواهد بود,4
764,آیا سه شنبه هفته دیگر تعطیل است,4
765,کدام ماه از سال 29 روز دارد,4
766,اولین تعطیلی کیه,4
767,تولّد علی کی بود,4
768,"عید نزدیک است.
مهر ماه سرد‌تری‌است یا فروردین",4
769,عید نوروز چندشنبه است,4
770,امروز چندم ماه است,4
771,هیچ استفاده ای از تقویم فیزیکی نمیکنم شما چطور,4
772,فردا عید قربان هست,4
773,فردا مناسبت خاصی داریم آیا,4
774,چند روز تا عید فطر مونده,4
775,سال نوی میلادی چه روزی تو دی ماه میشه,4
776,عید نوروز 1 ام فروردین است,4
777,امسال ماه رمضان از چه تاریخی شروع خواهد شد,4
778,پارسال چند روز در تقویم تعطیلی داشتیم,4
779,فردا عید قربان هست,4
780,فردا مناسبت خاصی داریم آیا,4
781,چند روز تا عید فطر مونده,4
782,سال نوی میلادی چه روزی تو دی ماه میشه,4
783,عید نوروز 1 ام فروردین است,4
784,امسال ماه رمضان از چه تاریخی شروع خواهد شد,4
785,پارسال چند روز در تقویم تعطیلی داشتیم,4
786,ولنتاین امسال ، چندم کدام ماه است,4
787,عاشورا تاسوعا کیه,4
788,امروز چند شنبه‌ست,4
789,چقدر مونده تا عید,4
790,"اسفند شده خیابون‌ها ترافیکه.
صفر ماه سنگینیه.
عید بریم شمال",4
791,امروز چندم است,4
792,چند هفته دیگر تا پایان ترم باقی مانده است,4
793,تولدت کی عه,4
794,امروز چند شنبه است,4
795,امروز به چه مناسبتی تعطیل است,4
796,امروز چندمه,4
797,چن تا تعطیلی داریم,4
798,فردا تعطیل است .,4
799,امروز چندم برجه,4
800,چند ماه دیگه عید میشه,4
801,"طبق تقویم داره نزدیک یکسال میشه که کرونا اومده 
این هفته هر روز ددلاین تمرین دارم 
نزدیکترین تعطیلی رسمی برای رفتن به مسافرت چه زمانیه",4
802,"16 آذر روز دانشجوست
عید نوروز بهترین مناسبت در ایران است
شب یلدا 30 آذر است",4
803,روز مادر کی است,4
804,فردا به چه مناسبتی تعطیل است,4
805,تقویم سال جدید کی میاید,4
806,امروز چندم ماه است,4
807,فردا چه مناسبتی است,4
808,چرا مناسبت های تعطیلی مصادف با جمعه می شوند,4
809,آیا مناسبت دیروز مهم بود,4
810,چرا در مناسبت های شهادت، همه جا تعطیل است,4
811,امروز چه مناسبتی است,4
812,فردا چه مناسبتی است,4
813,چرا مناسبت های تعطیلی مصادف با جمعه می شوند,4
814,آیا مناسبت دیروز مهم بود,4
815,چرا در مناسبت های شهادت، همه جا تعطیل است,4
816,امروز چه مناسبتی است,4
817,فردا چه مناسبتی است,4
818,چرا مناسبت های تعطیلی مصادف با جمعه می شوند,4
819,آیا مناسبت دیروز مهم بود,4
820,چرا در مناسبت های شهادت، همه جا تعطیل است,4
821,امروز چه مناسبتی است,4
822,تاریخ تولد شما چندم است,4
823,کریسمس پارسال چه روزی بود,4
824,فکر میکنی امسال روز کارگر برگزار میشود,4
825,شجریان چه روزی درگذشت,4
826,چند روز دیگه عیده,4
827,چند روز دیگه عیده,4
828,روز جهانی داروساز چه روزیست,4
829,آیا امروز روز جهانی معلولان است,4
830,چند روز تا عید نوروز مانده,4
831,امسال چارشنبه سوری چندم اسفند است,4
832,چند روز از عید فطر میگذرد,4
833,امسال روز دانشجو چند شنبه است,4
834,چند روز تا انتخابات مانده,4
835,فردا چه روزی است,4
836,عید فطر سال دیگر چه روزی است,4
837,چند تعطیلی مناسبتی در سال داریم,4
838,چند روز تا انتخابات مانده,4
839,فردا چه روزی است,4
840,عید فطر سال دیگر چه روزی است,4
841,چند تعطیلی مناسبتی در سال داریم,4
842,چند روز تا انتخابات مانده,4
843,فردا چه روزی است,4
844,عید فطر سال دیگر چه روزی است,4
845,چند تعطیلی مناسبتی در سال داریم,4
846,مناسبت های امروز چه چیزی هستند,4
847,اختلاف تاریخ قمری و شمی تولد تو چقدر است,4
848,روز جهانی شیخ مفید چه روزی است,4
849,در تاریخ 9999 چه تعداد کودک به دنیا امدند,4
850,13 رجب چه مناسبتی دارد,4
851,مناسبت های امروز چه چیزی هستند,4
852,اختلاف تاریخ قمری و شمی تولد تو چقدر است,4
853,روز جهانی شیخ مفید چه روزی است,4
854,در تاریخ 9999 چه تعداد کودک به دنیا امدند,4
855,13 رجب چه مناسبتی دارد,4
856,۲ ژوئن ۲٠٠۱ در تاریخ شمسی چه روزی است,4
857,۱۱ محرم ۱۴۲۱ به میلادی چه تاریخی است,4
858,هفته بسیج در چه تاریخی است,4
859,مبعث رسول در چه تاریخ قمری است,4
860,روز جهانی پسر در چه ماه میلادی است,4
861,چند روز تا عید نوروز مانده است,4
862,روز جهانی زن در تقویم هجری قمری چه روزی است,4
863,تقویم هجری شمسی با هجری قمری چند روز اختلاف دارند,4
864,روز آزادی خرمشهر در تقویم میلادی چه روزی است,4
865,۱۹ شهریور چه مناسبت هایی دارد,4
866,آغاز تاریخ میلادی چه واقعی بود,4
867,روز جهانی زن در تقویم هجری قمری چه روزی است,4
868,تقویم هجری شمسی با هجری قمری چند روز اختلاف دارند,4
869,روز آزادی خرمشهر در تقویم میلادی چه روزی است,4
870,۱۹ شهریور چه مناسبت هایی دارد,4
871,آغاز تاریخ میلادی چه واقعی بود,4
872,امروز چندمه,4
873,ماهو دیدن,4
874,(برای ماه رمضون),4
875,چندروز تا شب یلدا مانده است,4
876,دوسال پیش روز پدر درچه روزی بود,4
877,هفته آینده چه مناسبتی است,4
878,روز جهانی مبارزه با خشونت علیه زنان چه روزیست,4
879,تولدم کیه,4
880,امروز چندم ماه است,4
881,این ماه چند روز دارد,4
882,تاریخ امروز به میلادی چیست,4
883,سه شنبه چندم ماه است,4
884,چند روز در ماه تعطیله,4
885,عید چند روز دیگه‌ هست,4
886,روز جهانی درختکاری چه روزی هست,4
887,عید مبعث کی است,4
888,چرا تقویم های میلادی، شمسی و قمری با یکدیگر فرق دارند,4
889,فاصله بین عید قربان و عید غدیر چن روز است,4
890,چرا تعطیلی نداریم این ماه,4
891,تا تولدت چند روز مونده,4
892,امسال عید فطر چند شنبه هست,4
893,چند روز تا کریسمس مونده,4
894,چند تا تعطیلی تو این ماه داریم,4
895,تفاوت تعداد روز تعطیل ایران و برزیل چند تاست,4
896,تقویم چه کشورایی با خورشید تنظیم نشده,4
897,امسال چند روز تعطیلی داریم,4
898,روز جهانی کودک 12 مرداده,4
899,تاریخ تولدت کیه,4
900,"فردا سالگرد ازدواجمونه.
ماه گرد نامزدی هم جشن میگیرن",4
901,چند روز تا نوروز ۱۴۳۲ مانده,4
902,روز جهانی معلولان چند روز پیش بود,4
903,تا روز مادر چقدر مانده,4
904,۲۰ روز پیش چه مناسبتی داشتیم,4
905,این هفته چه مناسبتی داریم,4
906,مناسبت امروز چیه,4
907,اولین تعطیلی بعد از امروز که جمعه نیست، چه روزی‌ست,4
908,امروز چندم آذر است,4
909,روز جهانی کودک چه روزی است,4
910,پارسال ماه رمضان از کی شروع شد,4
911,امسال سال تحویل چند شنبه است,4
912,چهارشنبه سوری پارسال چندم اسفند بود,4
913,آیا روز پسر داریم,4
914,روز تولد من برابر است با روز مرگ علی شریعتی چند روز تا تولد من باقی مانده,4
915,چند روز تا یک تاریخ رند فاصله داریم,4
916,تا عید نوروز چند روز باقی مانده,4
917,"تاریخ امروز به میلادی
تاریخ ولنتاین به شمسی
تاریخ ۲۰ اردیبهشت ۹۹ به میلادی
۲۸ صفر کیه",4
918,آیا امروز روز جهانی کودک است,4
919,شب یلدا کی,4
920,22 اسفند چند شنبه میشه,4
921,چقدر مانده تا عید نوروز,4
922,روز سینما در چه تاریخیست,4
923,روز تولدت چند روز دیگر است,4
924,چه روز هایی در این ماه تعطیل رسمی هستند,4
925,امسال سال کبیسه است,4
926,چقدر مانده تا عید نوروز,4
927,روز سینما در چه تاریخیست,4
928,روز تولدت چند روز دیگر است,4
929,چه روز هایی در این ماه تعطیل رسمی هستند,4
930,امسال سال کبیسه است,4
931,۲۲ بهمن چند روز دیگه است,4
932,این ماه چند تا مناسبت تعطیلی داریم,4
933,این ماه مناسبت خاصی داریم,4
934,مناسبت های زمستان بیشتر است یا بهار,4
935,چندتا عزاداری داریم این ماه,4
936,چند تا خوشحالی مذهبی داریم این ماه,4
937,تعطیلی غیرمذهبی هم داریم,4
938,تعطیلی های امسال چیست,4
939,امروز چه روزیست,4
940,روز مادر کی است,4
941,روز مادر کی است,4
942,فردا به چه مناسبتی تعطیل است,4
943,تقویم سال جدید کی میاید,4
944,امروز چندمه ستون,4
945,داداش چند روز تا عید مونده,4
946,چندم میرسی مشتی,4
947,روز جهانی سرطان مغز کدوم ماه میشه,4
948,بیست روز دیگه چندمه,4
949,مناسبت بعدی چیست,4
950,چند روز تا سال نو مانده,4
951,بزرگداشت کوروش بزرگ چه روزی است,4
952,نزدیک ترین تعطیلی رسمی چه روزی است,4
953,اول ژانویه مصادف با کدام روز تقویم خورشیدی است,4
954,فردا عید است,4
955,چه قدر مانده تا کریسمس,4
956,فاصله روز جهانی درخت کاری و روز جهانی اعتیاد چه قدر است,4
957,آیا  تعطیلات تابستان یک ماه دیگر است,4
958,روز دانشجو کی,4
959,آیا فردا تعطیل است,4
960,پس فردا عید است,4
961,مناسبت امروز چیست,4
962,روز جهانی چپ دست ها کی است,4
963,دوست دارم یه بار روز جهانی بدون سوتین رو جشن بگیرم. خخخ,4
964,روز پسر چندمه,4
965,عید قربان پارسال چه روزی از تاریخ شمسی بودی,4
966,روز صادرات چه روزی است,4
967,روز جهانی سرطان سینه چه روزی است,4
968,روز پدر امسال چه تاریخی است,4
969,عید فطر سال آینده چه روزی است,4
970,روز دانشجو سال بعد چه روزی است,4
971,فردا عیده,4
972,روز جهانی زن مبارک. مگه فردا عیده که تعطیله,4
973,امسال اسفند سی روزه,4
974,هفتهٔ دیگه بین‌التعطلین داره,4
975,چقدر تا ماه رمضون مونده,4
976,تولّدت چندمِ آبانه,4
977,جشنِ روزِ دانشکده سه دی بود یا چهار دی,4
978,فردا مناسبتِ خاصّیه,4
979,نظرت چیه به مناسبتِ روزِ مهندس یه جشن برگزار کنیم,4
980,تقویمِ قمری چندروزه‌س,4
981,امسال کبیسه است,4
982,چند روز تا کریسمس مونده,4
983,روز جهانی خبرنگار چه روزیه,4
984,چرا تولدم شهریوره,4
985,چرا نصف سپتامبر شهریوره نصف دیگش مهره,4
986,روز دانشجو چه روزیه,4
987,امسال محرم کی شروع میشه,4
988,چند روز تا عید نوروز مونده,4
989,تعطیلی بعدی کیه,4
990,امروز چندمه,4
991,هفته بعد به چه مناسبتی تعطیله,4
992,چقد مونده تا تولد مامان,4
993,سال پیش اربعین چه روزی بود,4
994,روز پزشک کی هست,4
995,چند روز تا شب یلدا باقی مانده,4
996,روز معلم چه تاریخی است,4
997,تاریخ تولدت شما چه روزی است,4
998,فردا چندم است,4
999,فردا چه مناسبتی هست,4
1000,چند روز تا شب یلدا باقی مانده,4
1001,روز معلم چه تاریخی است,4
1002,تاریخ تولدت شما چه روزی است,4
1003,فردا چندم است,4
1004,فردا چه مناسبتی هست,4
1005,امروز چه روزیه,4
