,sentence,class
587,امام خمینی در چه تاریخی ایران را ترک می‌کند,3
588,امروز چندم ماه است,3
589,این ماه چند روز دارد,3
590,تاریخ امروز به میلادی چیست,3
591,سه شنبه چندم ماه است,3
592,رحلت پیامبر چه روزی است,3
593,ولادت حضرت علی چه روزی است,3
594,مبعث در کدام ماه قمری قرار دارد,3
595,آخرین جمعه این ماه چه تاریخی خواهد بود,3
596,آیا سه شنبه هفته دیگر تعطیل است,3
597,کدام ماه از سال ۲۹ روز دارد,3
598,اولین تعطیلی کیه,3
599,عید نزدیک است,3
600,مهر ماه سرد‌تری‌است یا فروردین,3
601,عید نوروز چندشنبه است,3
602,امروز چندم ماه است,3
603,فردا عید قربان هست,3
604,فردا مناسبت خاصی داریم آیا,3
605,چند روز تا عید فطر مونده,3
606,سال نوی میلادی چه روزی تو دی ماه میشه,3
607,عید نوروز ۱ ام فروردین است,3
608,امسال ماه رمضان از چه تاریخی شروع خواهد شد,3
609,پارسال چند روز در تقویم تعطیلی داشتیم,3
610,ولنتاین امسال چندم کدام ماه است,3
611,عاشورا تاسوعا کیه,3
612,امروز چند شنبه‌ست,3
613,چقدر مونده تا عید,3
614,عید بریم شمال,3
615,امروز چندم است,3
616,چند هفته دیگر تا پایان ترم باقی مانده است,3
617,تولدت کی عه,3
618,امروز چند شنبه است,3
619,امروز به چه مناسبتی تعطیل است,3
620,امروز چندمه,3
621,چن تا تعطیلی داریم,3
622,فردا تعطیل است,3
623,امروز چندم برجه,3
624,چند ماه دیگه عید میشه,3
625,این هفته هر روز ددلاین تمرین دارم,3
626,نزدیکترین تعطیلی رسمی برای رفتن به مسافرت چه زمانیه,3
627,۱۶ آذر روز دانشجوست,3
628,عید نوروز بهترین مناسبت در ایران است,3
629,شب یلدا ۳۰ آذر است,3
630,روز مادر کی است,3
631,فردا به چه مناسبتی تعطیل است,3
632,تقویم سال جدید کی میاید,3
633,امروز چندم ماه است,3
634,فردا چه مناسبتی است,3
635,چرا مناسبت‌های تعطیلی مصادف با جمعه می‌شوند,3
636,آیا مناسبت دیروز مهم بود,3
637,چرا در مناسبت‌های شهادت همه جا تعطیل است,3
638,امروز چه مناسبتی است,3
639,تاریخ تولد شما چندم است,3
640,کریسمس پارسال چه روزی بود,3
641,فکر میکنی امسال روز کارگر برگزار میشود,3
642,شجریان چه روزی درگذشت,3
643,چند روز دیگه عیده,3
644,روز جهانی داروساز چه روزیست,3
645,آیا امروز روز جهانی معلولان است,3
646,چند روز تا عید نوروز مانده,3
647,امسال چارشنبه سوری چندم اسفند است,3
648,چند روز از عید فطر میگذرد,3
649,امسال روز دانشجو چند شنبه است,3
650,چند روز تا انتخابات مانده,3
651,فردا چه روزی است,3
652,عید فطر سال دیگر چه روزی است,3
653,چند تعطیلی مناسبتی در سال داریم,3
654,مناسبت‌های امروز چه چیزی هستند,3
655,اختلاف تاریخ قمری و شمی تولد تو چقدر است,3
656,روز جهانی شیخ مفید چه روزی است,3
657,۱۳ رجب چه مناسبتی دارد,3
658,۲ ژوئن ۲٠٠۱ در تاریخ شمسی چه روزی است,3
659,۱۱ محرم ۱۴۲۱ به میلادی چه تاریخی است,3
660,هفته بسیج در چه تاریخی است,3
661,مبعث رسول در چه تاریخ قمری است,3
662,روز جهانی پسر در چه ماه میلادی است,3
663,چند روز تا عید نوروز مانده است,3
664,روز جهانی زن در تقویم هجری قمری چه روزی است,3
665,تقویم هجری شمسی با هجری قمری چند روز اختلاف دارند,3
666,روز آزادی خرمشهر در تقویم میلادی چه روزی است,3
667,۱۹ شهریور چه مناسبت هایی دارد,3
668,آغاز تاریخ میلادی چه واقعی بود,3
669,امروز چندمه,3
670,چندروز تا شب یلدا مانده است,3
671,دوسال پیش روز پدر درچه روزی بود,3
672,هفته آینده چه مناسبتی است,3
673,روز جهانی مبارزه با خشونت علیه زنان چه روزیست,3
674,تولدم کیه,3
675,امروز چندم ماه است,3
676,این ماه چند روز دارد,3
677,تاریخ امروز به میلادی چیست,3
678,سه شنبه چندم ماه است,3
679,چند روز در ماه تعطیله,3
680,عید چند روز دیگه‌ هست,3
681,روز جهانی درختکاری چه روزی هست,3
682,عید مبعث کی است,3
683,چرا تقویم‌های میلادی شمسی و قمری با یکدیگر فرق دارند,3
684,فاصله بین عید قربان و عید غدیر چن روز است,3
685,چرا تعطیلی نداریم این ماه,3
686,تا تولدت چند روز مونده,3
687,امسال عید فطر چند شنبه هست,3
688,چند روز تا کریسمس مونده,3
689,چند تا تعطیلی تو این ماه داریم,3
690,تفاوت تعداد روز تعطیل ایران و برزیل چند تاست,3
691,امسال چند روز تعطیلی داریم,3
692,روز جهانی کودک ۱۲ مرداده,3
693,تاریخ تولدت کیه,3
694,فردا سالگرد ازدواجمونه,3
695,چند روز تا نوروز ۱۴۳۲ مانده,3
696,روز جهانی معلولان چند روز پیش بود,3
697,تا روز مادر چقدر مانده,3
698,۲۰ روز پیش چه مناسبتی داشتیم,3
699,این هفته چه مناسبتی داریم,3
700,مناسبت امروز چیه,3
701,اولین تعطیلی بعد از امروز که جمعه نیست چه روزی‌ست,3
702,امروز چندم آذر است,3
703,روز جهانی کودک چه روزی است,3
704,پارسال ماه رمضان از کی شروع شد,3
705,امسال سال تحویل چند شنبه است,3
706,چهارشنبه سوری پارسال چندم اسفند بود,3
707,آیا روز پسر داریم,3
708,روز تولد من برابر است با روز مرگ علی شریعتی چند روز تا تولد من باقی مانده,3
709,چند روز تا یک تاریخ رند فاصله داریم,3
710,تا عید نوروز چند روز باقی مانده,3
711,تاریخ امروز به میلادی,3
712,تاریخ ولنتاین به شمسی,3
713,تاریخ ۲۰ اردیبهشت ۹۹ به میلادی,3
714,۲۸ صفر کیه,3
715,آیا امروز روز جهانی کودک است,3
716,شب یلدا کی,3
717,۲۲ اسفند چند شنبه میشه,3
718,چقدر مانده تا عید نوروز,3
719,روز سینما در چه تاریخیست,3
720,روز تولدت چند روز دیگر است,3
721,چه روز هایی در این ماه تعطیل رسمی هستند,3
722,امسال سال کبیسه است,3
723,۲۲ بهمن چند روز دیگه است,3
724,این ماه چند تا مناسبت تعطیلی داریم,3
725,این ماه مناسبت خاصی داریم,3
726,مناسبت‌های زمستان بیشتر است یا بهار,3
727,چندتا عزاداری داریم این ماه,3
728,چند تا خوشحالی مذهبی داریم این ماه,3
729,تعطیلی غیرمذهبی هم داریم,3
730,تعطیلی‌های امسال چیست,3
731,امروز چه روزیست,3
732,روز مادر کی است,3
733,روز مادر کی است,3
734,فردا به چه مناسبتی تعطیل است,3
735,تقویم سال جدید کی میاید,3
736,امروز چندمه ستون,3
737,داداش چند روز تا عید مونده,3
738,روز جهانی سرطان مغز کدوم ماه میشه,3
739,بیست روز دیگه چندمه,3
740,مناسبت بعدی چیست,3
741,چند روز تا سال نو مانده,3
742,بزرگداشت کوروش بزرگ چه روزی است,3
743,نزدیک‌ترین تعطیلی رسمی چه روزی است,3
744,اول ژانویه مصادف با کدام روز تقویم خورشیدی است,3
745,فردا عید است,3
746,چه قدر مانده تا کریسمس,3
747,فاصله روز جهانی درخت کاری و روز جهانی اعتیاد چه قدر است,3
748,آیا تعطیلات تابستان یک ماه دیگر است,3
749,روز دانشجو کی,3
750,آیا فردا تعطیل است,3
751,پس فردا عید است,3
752,مناسبت امروز چیست,3
753,روز جهانی چپ دست‌ها کی است,3
754,روز پسر چندمه,3
755,عید قربان پارسال چه روزی از تاریخ شمسی بودی,3
756,روز صادرات چه روزی است,3
757,روز جهانی سرطان سینه چه روزی است,3
758,روز پدر امسال چه تاریخی است,3
759,عید فطر سال آینده چه روزی است,3
760,روز دانشجو سال بعد چه روزی است,3
761,فردا عیده,3
762,روز جهانی زن مبارک مگه فردا عیده که تعطیله,3
763,امسال اسفند سی روزه,3
764,هفتهٔ دیگه بین‌التعطلین داره,3
765,چقدر تا ماه رمضون مونده,3
766,تولدت چندم آبانه,3
767,جشن روز دانشکده سه دی بود یا چهار دی,3
768,فردا مناسبت خاصیه,3
769,نظرت چیه به مناسبت روز مهندس یه جشن برگزار کنیم,3
770,تقویم قمری چندروزه‌س,3
771,امسال کبیسه است,3
772,چند روز تا کریسمس مونده,3
773,روز جهانی خبرنگار چه روزیه,3
774,چرا تولدم شهریوره,3
775,روز دانشجو چه روزیه,3
776,امسال محرم کی شروع میشه,3
777,چند روز تا عید نوروز مونده,3
778,تعطیلی بعدی کیه,3
779,امروز چندمه,3
780,هفته بعد به چه مناسبتی تعطیله,3
781,چقد مونده تا تولد مامان,3
782,سال پیش اربعین چه روزی بود,3
783,روز پزشک کی هست,3
784,چند روز تا شب یلدا باقی مانده,3
785,روز معلم چه تاریخی است,3
786,تاریخ تولدت شما چه روزی است,3
787,فردا چندم است,3
788,فردا چه مناسبتی هست,3
789,امروز چه روزیه,3
790,شب است,4
791,آیا برنامه‌ی هواشناسی را دیدی,4
792,چگونه وضعیت هوا را میتوان پیش بینی کرد,4
793,امیدوارم هوای دیزین هفته آینده برفی باشد,4
794,سایت هواشناسی را بررسی کرده‌ای,4
795,چرا در فصل زمستان پوست دست خشک میشود,4
796,برای هوای فردا چه لباسی مناسب است,4
797,آیا هوا برای ماهیگیری مناسب است,4
798,هوا خیلی خوبه,4
799,هوا دو‌نفره‌س,4
800,آلودگی هوای امروز چقدر است,4
801,این هوا برای سیگار زیادی عالی نیست,4
802,از هوای گرم بیزارم,4
803,هوا هوای دو نفره است,4
804,هوای قم چه کم از هوای تهران دارد,4
805,آیا آب تهران بهتر از هوای آن نیست,4
806,کجا برف آمده است,4
807,به نظرت هوای برفی قشگه,4
808,شما هم از هوای سرد متنفرید,4
809,خیلی هوا دمه,4
810,توی چه فصلی خوبه آدم بره سفر,4
811,چیشد میتونستیم برای همیشه از هوای پاک لذت ببریم و دیگه الوگدی نباشه,4
812,عجب هوای دو نفره‌ای,4
813,هوای تهران کیری‌ست,4
814,در این مه چطور رانندگی کنم,4
815,هوا دو نفره است,4
816,امروز هوا بارونی بود,4
817,تو این هوا بهتر نیست بریم بیرون,4
818,هوا یه کم سرد نشده,4
819,هوا چطوره,4
820,قبل از شب میباشد,4
821,منبع معتبر اعلام اوقات شرعی چیست,4
822,از چه سایتی میشه اوقات شرعیو پیدا کرد,4
823,ساعت گذاشتی برای سحر,4
824,من دیروز برای نماز صبح خواب موندم,4
825,روزه در چه صورتی باطل میشود,4
826,اصول وضوع چگونه است,4
827,نماز شکسته در چه صورت است,4
828,چرا اوقات شرعی مناطق مختلف تا این حد متفاوت است,4
829,زمان‌های دقیق اوقات شرعی به چه صورت تعیین می‌شوند,4
830,ترجیح میدی اذان مغرب دیرتر باشه یا زودتر,4
831,چرا اذان نمیگن,4
832,فوتبال پرسپولیس,4
833,ساعت ۶ منتظرتم,4
834,تو این ساعت شهر خیلی شلوغه,4
835,زمان روزه تابستان فنلاند چقدره,4
836,میتونی منو برای اذان صبح بیدار کنی,4
837,برنامه را وسط اذان قطع می‌کنند,4
838,روزه در چه صورتی باطل میشود,4
839,نماز نمی‌خونم که بخوام ساعت دقیق اوقات شرعی رو بدونم ولی حوالی ۱۲ اذان ظهر حوالی ۵ اذان مغرب ۱۱ شب هم حدودا قضا میشه,4
840,مدت زمان روزه گرفتن تو گدوم شهر ایران کمتره,4
841,برای پرکردن فرم چقدر زمان لازم است,4
842,فوتبال چه ساعتی برگزار می‌شود,4
843,عقربه ساعت شمار روی کدام عدد قرار دارد,4
844,کی ویروس کرونا تمام میشود,4
845,کی می‌آیی,4
846,چه زمانی برای رفتن بهتر است,4
847,در مورد رمان برندشون سندرسون به نام چرخ زمان شنیدی,4
848,چند ساعت از گل آخر منچستر سیتی در لیگ قهرمانان قبل گذشته است,4
849,ساعت رند نشد درس بخونم,4
850,ساعت چند مترو باشم,4
851,امروز چه ساعتی می‌توانم تو را ببینم,4
852,دیشب چند ساعت خوابیدی,4
853,سفر در زمان ممکنه,4
854,زمان بعد چندمه,4
855,به ساعت درون اعتقاد داری,4
856,فوتبال ساعت چند است,4
857,چه ساعتی کلاس داری و باید از خواب بیدار بشی,4
858,فوتبال بارسلونا ساعت چنده امشب,4
859,ساعت ۶ قدیم است یا جدید,4
860,اختلاف زمانی ویندوز و لینوکس با هربار عوض شدن چند ساعت است,4
861,دوست دارید الان چه ساعتی از شبانه روز باشد,4
862,یازده قدیم یا یازده جدید,4
863,ساعت چند کلاس داری,4
864,برای پرکردن فرم چقدر زمان لازم است,4
865,ساعت چند می‌رسی خونه,4
866,مهمونی چند ساعت طول می‌کشه,4
867,شبا کی می‌خوابی,4
868,کلاس از چه ساعتیه تا چه ساعتی,4
869,چرا هیچ اختلاف زمانی بین دو کشور فرانسه و اسپانیا نداریم,4
870,چرا بین ایران و کشور هایی اروپایی حداقل سه و نیم ساعت اختلاف زمانی داریم,4
871,چرا گرینویچ مهمترین ساعته,4
872,منطقه زمانی چین کدومه,4
873,کدوم کشور همین الان نسبت به ایران تاریخ متفاوتی داره,4
874,وقت چقدر میرزه,4
875,دیروز چقدر کیف داد,4
876,امروز شهر قشنگ شده,4
877,فردا چیکار کنیم,4
878,پارسال بهار دسته جمعی رفته بودیم زیارتxD,4
879,بیشترین تفاوت ساعت با ایران مربوط به کجاست,4
880,خانومی ساعتی چند,4
881,اون ور آب ساعتی چنده,4
882,اگر الان ۶ باشه فردا کی ساعت ۶ میشه,4
883,وقتی من دارم به کلاسای آنلاین کسشر گوش میدم جایی مثل آمریکا که شبه چند نفر دارن واسه همدیگه میخورن,4
884,چند نفر دارن به قتل میرسن,4
885,چند نفر به دنیا میان,4
886,جالبه دونستن اینا,4
887,چند ساعت دیگه می‌رسیم,4
888,می‌شه نیم ساعت قبل از رفتنت به من خبر بدی,4
889,کی بیام,4
890,وقت دکترت واسه چند شنبه بود,4
891,هفته دیگر,4
892,چهارشنبه ۸ آذر,4
893,تولد تو کی است,4
894,تولد علی کی بود,4
895,هیچ استفاده‌ای از تقویم فیزیکی نمیکنم شما چطور,4
896,صفر ماه سنگینیه,4
897,اسفند شده خیابون‌ها ترافیکه,4
898,طبق تقویم داره نزدیک یکسال میشه که کرونا اومده,4
899,در تاریخ ۹,4
900,۹,4
901,۹۹ چه تعداد کودک به دنیا امدند,4
902,ماهو دیدن,4
903,برای ماه رمضون,4
904,تقویم چه کشورایی با خورشید تنظیم نشده,4
905,ماه گرد نامزدی هم جشن میگیرن,4
906,چندم میرسی مشتی,4
907,دوست دارم یه بار روز جهانی بدون سوتین رو جشن بگیرم خخخ,4
908,چرا نصف سپتامبر شهریوره نصف دیگش مهره,4
