Class1-Q,Class1-W,Class2-Q,Class2-W,Class3-Q,Class3-W,Class4-Q,Class4-W
"شما هم از هوای سرد متنفرید؟
الان اب و هوای جزایر مالیدیو چگونه است؟
پارسال سرد بود؟
امسال نسبت به پارسال سردتره؟",هوا_سرد_تنفر//اب و هوا_مالدیو_جزایر//پارسال_سرد//پارسال_سردتر,"اذان مغرب به افق اصفهان چه وقتیه؟
اوقات شرعی در جنوبگان چطوره؟
",اذان مغرب_اصفهان//اوقات شرعی_جنوبگان//,"الان در بالی ساعت چند است؟
الان در هند چه زمانیست ؟",بالی_ساعت//هند_الان,"روز جهانی مبارزه با خشونت علیه زنان چه روزیست؟
تولدم کیه؟",روز_جهانی_خشونت عیله زنان//تولدم
"آیا فردا هوا ابریست؟
آیا فردا باران میبارد؟!
امروز هوا سرد تر است.
هواشناسی در مورد هوای فردا چه میگوید ؟",هوا-هواشناسی- امروز- فردا - باران-  ابر,,,"چند ساعت تا غروب مانده ؟!
تهران چند ساعت با کابل اختلاف زمانی دارد؟
برای پرکردن فرم، چقدر زمان لازم است ؟
الان ساعت در تهران چند است؟",الان- زمان- ساعت,"امروز چندم ماه است؟
این ماه چند روز دارد؟
تاریخ امروز به میلادی چیست؟!
سه شنبه چندم ماه است؟",ماه- چندم- تاریخ
"کی قراره برف بیاد؟
خیلی هوا دمه.
توی چه فصلی خوبه آدم بره سفر؟","برف
دم- هوا
فصل- سفر","اذان صبح ساعت چند هست؟
کی باید نماز بخونم؟
چه ساعتی افطار می‌کنیم؟","اذان- صبح- ساعت
نماز
افطار","با استرالیا چند ساعت اختلاف داریم؟
ساعت چند می‌رسی خونه؟
مهمونی چند ساعت طول می‌کشه؟
کلاس از چه ساعتیه تا چه ساعتی؟
شبا کی می‌خوابی؟","استرالیا - ساعت - اختلاف
ساعت- خانه
مهمونی- طول کشیدن
کلاس - بازه زمانی
شب‌ - خواب - ساعت- زمان","چند روز در ماه تعطیله؟
عید چند روز دیگه‌ هست؟
روز جهانی درختکاری چه روزی هست؟","روز- ماه- تعطیل
عید - فاصله زمانی
درختکاری- روز - جهانی"
ایا اب و هوا تا اخر سال قراره بارونی باشه؟ //چرا الودگی هوا تموم نمیشه دلیلش چیه ؟ // چیشد میتونستیم برای همیشه از هوای پاک لذت ببریم و دیگه الوگدی نباشه!,,چرا اذان مغرب راتابستانها دیر و زمستانها زود میگویند؟// نیمه شب شرعی دقیقا به چه معناست؟// ایا اذان صبح تهران و سمنان هر دو در یک زمان گفته میشود؟,,چرا بین ایران و کشور هایی اروپایی حداقل سه و نیم ساعت اختلاف زمانی داریم؟// چرا هیچ اختلاف زمانی بین دو کشور فرانسه و اسپانیا نداریم؟// الان در پکن الان  ظهر است؟,,عید مبعث کی است؟// چرا تقویم های میلادی، شمسی و قمری با یکدیگر فرق دارند؟// فاصله بین عید قربان و عید غدیر چن روز است؟,
چرا انقد هوا الوده شده؟؟,الوده-هوا-اب و هوا-تهران-کلانشهر,نیمه شب شرعی چیه؟,اذان،شرعی،افق,الان اونجا ساعت چنده؟,سال،زمان،ساعت،ثانیه,چرا تعطیلی نداریم این ماه؟؟؟,روز دانشجو،تعطیلی،
بارون تا چندشنبه ادامه داره؟,بارون- ادامه,اذان ظهر با اذان عصر چه فرقی داره؟,اذان ظهر- اذان مغرب- فرق,چرا گرینویچ مهمترین ساعته؟,گرینویچ- مهم- ساعت,تا تولدت چند روز مونده؟,تولد-باقی  ماندن
پیشبینی وضعیت هوای تهران برای آخر هفته دیگر چگونه است؟,آخر هفته- تهران- هوا,اذان صبح به افق یزد چه ساعتی است؟,اذان صبح- یزد-افق,اختلاف ساعت تهران و لندن چقدر است؟,تهران-لندن-اختلاف ساعت,امسال عید فطر چند شنبه هست؟,امسال-عید فطر
هوای کالیفرنیا خوبه؟,هوا - کالیفرنیا,اذان صبح در سانتا کلارا کی هستش؟,اذان صبح-سانتا کلارا-کی,اختلاف ساعات سانتا آنا و شیراز چقدر هستش؟,اختلاف ساعات-سانتا آنا-شیراز-چقدر,چند روز تا کریسمس مونده؟,چند روز-کریسمس-مونده
"امسال تو ایران چند میلی متر بارون اومد؟ الان تهران هوا چند درجه است؟ گرم ترین شهر امروز جهان کجا بود؟ پر باران ترین سال سده اخیر در ایران چه سالیه؟
وضع کلی هوا چه طوریه؟",هوا - تهران - باران - برف - سرد - خشک - باد - سرعت,چند دقیقه تا اذان ظهر باقی مونده؟//نیمه شب شرعی تهران چه ساعتیه؟//فوتبال پرسپولیس - استقلال چند ساعت بعد اذان مغرب برگزار میشه؟,اذان - ظهر - نیمه شب- قضا - اینجا - مشهد - فاصله,ساعت چنده؟//منطقه زمانی چین کدومه؟//کدوم کشور همین الان نسبت به ایران تاریخ متفاوتی داره؟//وقت چقدر میرزه؟,الان - صبح - گرینویچ - دبی - ساعت,چند تا تعطیلی تو این ماه داریم؟ // تفاوت تعداد روز تعطیل ایران و برزیل چند تاست؟ // تقویم چه کشورایی با خورشید تنظیم نشده؟,عید - تعطیل - جمعه
"فردا هوا چطوریه؟
هوا چقدر خوبه امروز.
عجب هوای دو نفره ای!!!🤤
هوای دیروز چقدر سرد بود!
هوا بارونیه؟",هوا - ابری - طوفانی - آفتابی - سرد ـ گرم,"ا‌‌ذون زده؟
کی افطار بخوریم؟
کی سحری بخوریم؟
تو این ساعت شهر خیلی شلوغه!
ساعت 6 منتظرتم.","اذون
ساعت
سحری
افطاری
کی؟","الان که اینجا شبه اونجا روزه؟
دیروز چقدر کیف داد!
امروز شهر قشنگ شده.
فردا چیکار کنیم؟
پارسال بهار دسته جمعی رفته بودیم زیارتxD","روز
شب
پارسال
فردا
امروز","امسال چند روز تعطیلی داریم؟
روز جهانی کودک 12 مرداده؟
تاریخ تولدت کیه؟
فردا سالگرد ازدواجمونه.
ماه گرد نامزدی هم جشن میگیرن؟","روز
امسال
سالگرد
ماه گرد
روز جهانی"
"آیا هوای فردای تهران، بارانیست؟
هوای هفته‌ی آینده‌ی برلین چگونه خواهد بود؟
آیا پاییز امسال، برف می‌بارد؟
آیا پارسال پاییز، برف می‌بارید؟
آیا تابستان گرمی در راه است؟","هوا - فردا - تهران - بارانی
هوا - هفته آینده - برلین
پاییز - امسال - برف
پاییز - پارسال - برف
تابستان - گرم","اذان صبح بورلی هیلز چه ساعتی است؟
اذان ظهر پراگ با اینجا چه‌قدر تفاوت دارد؟
آیا تا اذان مغرب کاشان کمتر از یک ساعت مانده؟
آیا از نیمه‌شب شرعی پیونگ‌یانگ گذشته است؟
فاصله اذان ظهر گوتنبرگ و استکهلم چقدر است؟","اذان صبح - بورلی هیلز
اذان ظهر - پراگ - اینجا
اذان مغرب - کاشان - یک ساعت
نیمه‌شب شرعی - پیونگ‌یانگ
اذان ظهر - گوتنبرگ - استکهلم","ساعت کرج الان چند است؟
اختلاف زمانی اردکان و لیسبون چقدر است؟
ساعت ابوظبی با ساعت جهانی چقدر اختلاف دارد؟
آیا در بیروت، ساعت از دوازده نیمه‌شب گذشته است؟
الان در ونکوور ساعت چند است؟","ساعت - کرج
اختلاف زمانی - اردکان - لیسبون
ساعت - ابوظبی - ساعت جهانی - اختلاف
بیروت - ساعت - دوازده - نیمه‌شب
ونکوور - ساعت","چند روز تا نوروز ۱۴۳۲ مانده؟
روز جهانی معلولان چند روز پیش بود؟
تا روز مادر چقدر مانده؟
۲۰ روز پیش چه مناسبتی داشتیم؟
این هفته چه مناسبتی داریم؟","نوروز - ۱۴۳۲
روز جهانی معلولان
روز مادر
۲۰ روز - مناسبت
این هفته - مناسبت"
فردا هوا سرده؟,فردا تهران بارونیه؟,اذان مغرب تهران چه ساعتیه؟,اینجا چه ساعتی اذان مغرب میگن؟,الان تو لندن ساعت چنده؟,اختلاف ساعت تهران و مونیخ چقدره؟,مناسبت امروز چیه؟,عید قربان چه روزیه؟
هوای تهران کیری‌ست.,هوا - تهران - کیری,نیمه‌شب تهران چه زمانی‌ست؟,نیمه‌شب - تهران,ساعت ساحل شرقی آمریکا چند است؟,ساعت - ساحل شرقی آمریکا,اولین تعطیلی بعد از امروز که جمعه نیست، چه روزی‌ست؟,تعطیلی
آیا فردا هوا بارانی است؟// دیروز در کدام شهر برف بارید؟// هوای ابری را دوست داری یا آفتابی؟// در این مه چطور رانندگی کنم؟// با این باران احتمال سیل چقدر است؟,هوا، فردا، بارانی//دیروز،شهر،برف//هوا،ابری،آفتابی//مه،رانندگی//باران،سیل،احتمال,اذان ظهر تهران چه زمانی است؟// آیا از نیمه شب شرعی مشهد گذشته است؟// اذان صبح شیراز و اصفهان چقدر تفاوت دارد؟// اذان مغرب اهواز را گفته‌اند؟ // فاصله اذان ظهر اینجا و رشت چقدر است؟,اذان ظهر،تهران//نیمه شب شرعی، مشهد//اذان صبح،شیراز،اصفهان//اذان مغرب،اهواز//اذان ظهر،اینجا،رشت,اختلاف ساعت تهران و تورنتو چقدر است؟//الان در لندن شب است یا روز؟// در چه ساعتی از روز میتوانم با دوستم در آمریکا صحبت کنم؟//الان در برلین ساعت چند است؟//چند ساعت دیگر در استرالیا صبح میشود؟,ساعت،تهران،تورنتو//لندن،شب،روز//روز،ساعت،آمریکا،صحبت//برلین،ساعت،الان//ساعت،استرالیا،صبح,امروز چندم آذر است؟// روز جهانی کودک چه روزی است؟// پارسال ماه رمضان از کی شروع شد؟//امسال سال تحویل چند شنبه است؟// چهارشنبه سوری پارسال چندم اسفند بود؟,امروز،آذر//روزجهانی کودک//پارسال،ماه رمضان//امسال،سال تحویل//چهارشنبه سوری،پارسال،اسفند
فردا هوا آبی بارانی است؟ // آیا میانگین بارندگی امسال از سال پیش بیشتر است؟ // سرد ترین زمستان تاریخ ایران چه سالی بوده است؟ // آلودگی هوای امروز چه قدر است؟,,طلوع آفتاب چه ساعتی است؟ // الان باید چه نمازی بخوانم؟ // یک ساعت دیگر کدام نماز قضا میشود؟ // فاصله بین نماز صبح و طلوع آفتاب چه قدر است؟ // آفتاب در کدام شهر ایران زودتر غروب میکند؟,,ساعت هشت صبح تهران چه ساعتی در مونیخ است؟ // اختلاف ساعت تهران با سیدنی چند ساعت است؟ // الان در سیدنی چه ساعتی است؟ // الان شب است یا روز؟,,آیا روز پسر داریم؟ // روز تولد من برابر است با روز مرگ علی شریعتی چند روز تا تولد من باقی مانده؟ // چند روز تا یک تاریخ رند فاصله داریم؟ // تا عید نوروز چند روز باقی مانده؟,
"هوا چطوره؟
امروز بارون میاد؟
اولین برف پارسال کی بود؟
هوای تهران چند درجه است؟
وضعیت هوای هفته پیش رو چجوره؟","هوا
امروز ، بارون
اولین ، برف ، پارسال
هوا ، تهران ، درجه
وضعیت هوا ، هفته پیش رو","نیمه شب شرعی امروز چه ساعتی است؟
اذان مغرب تهران
اذان صبح به وقت اصفهان
زمان افطار به وقت تهران
زمان سحر به وقت اهواز","نیمه شب شرعی ، امروز
اذان مغرب ، تهران
اذان صبح ، اصفهان
زمان افطار ، تهران
زمان سحر ، اهواز","ساعت آمریکا چند است؟
الان ساعت gmt چند است؟
اختلاف ساعت ترکیه و ایران چقدر است؟","ساعت، آمریکا
الان ، ساعت ، gmt
اختلاف ساعت ، ترکیه ، ایران","تاریخ امروز به میلادی
تاریخ ولنتاین به شمسی
تاریخ ۲۰ اردیبهشت ۹۹ به میلادی
۲۸ صفر کیه؟","تاریخ ، امروز ، میلادی
تاریخ ، ولنتاین ، شمسی
تاریخ ، ۲۰ اردیبهشت ۹۹ ، میلادی
۲۸ صفر"
آیا ممکن است ۱۰ سال دیگر همین جا برف بیاید؟,۱۰ - سال - برف,تا اذان ظهر چقدر مانده‌است؟,اذان ظهر,الان در آمریکا شب است یا روز؟,آمریکا - شب - روز,آیا امروز روز جهانی کودک است؟,امروز - روز جهانی کودک
بارون میاد؟//سرده؟//هوا دو نفره است.,بارون// سرد// دونفره,زمان روزه تابستان فنلاند چقدره؟//نیمه شب شرعی کی؟//,روزه-تابستان-فنلاند// نیمه شب شرعی,در قطب جنوب ساعت چنده؟//اختلاف ساعت شرق و غرب آمریکا چقدره؟,قطب جنوب- ساعت//اختلاف ساعت- شرق غرب آمریکا,شب یلدا کی؟//22 اسفند چند شنبه میشه؟//,شب یلدا// 22 اسفند//
هوای فردا  بارانیست؟ // هوای محل زندگی تو چگونه است؟ // هوای بارانی را دوست داری ؟ //   میانگین درجه هوای امسال تهران در تابستان چند بوده است ؟ // هوای در هفته ی آینده رو به سردی پیش میرود؟,هوا - باران // هوا - محل زندگی // میانگین -هوا - درجه - تابستان // هوا -سردی ,امروز اذان ظهر به افق تهران چه ساعتی است؟ ,اذان - افق - ظهر - تهران,اختلاف ساعت تهران با پاریس در نیمه ی دوم سال چقدر است ؟ // مسکو چند ساعت عقب یا جلو تر از استانبول است ؟ // طلوع آفتاب در برلین امروز چه ساعتی است؟ // ,اختلاف ساعت - تهران - پاریس // ساعت - عقب - جلو - مسکو - استانبول // برلین - ساعت - طلوع آفتاب - امروز,چقدر مانده تا عید نوروز ؟ // روز سینما در چه تاریخیست ؟ // روز تولدت چند روز دیگر است ؟ // چه روز هایی در این ماه تعطیل رسمی هستند ؟ // امسال سال کبیسه است ؟  ,عید نوروز // روز سینما - تاریخ // روز تولد // روز- تعطیل رسمی - ماه // سال کبیسه - امسال
"هفته بعد هوا بوشهر بارانی است؟
پیش بینی هواشناسی برای هفته بعد چه بود؟
آیا دریا برای چهل و هشت ساعت آینده مواج خواهد بود؟
امشب هوای اردبیل تا چند درجه سرد میشود؟
میانگین دمای امروز تهران چند درجه است؟",مواج - طوفانی - جزر و مد - آفتابی - نیمه ابری - بارانی - تگرگ - رعد وبرق - رگبار شدید - رگبار پراکنده,"پس کی اذان میگن؟
میتونی منو برای اذان صبح بیدار کنی؟
طول روز امروز چقدر است؟
",نیمه شب شرعی - سپیده دم - طلوع آفتاب - غروب آفتاب - امساک - اذان صبح - اذان مغرب - عشاء,,,,
امروز هوا چطوره ؟ ,هوا - چطوره - نظرت چیه - بارون,اذان رو گفتند؟ ,صبح-نیمه شب- اصفهان,ساعت چنده؟ ,یه ربع-مونده-اصفهان,۲۲ بهمن چند روز دیگه است؟,اردیبهشت - بهمن-پسفردا
آیا هوای امروز بارانی است؟ امشب هوا چقدر سرد می شود؟ دیروز هوا سرد بود؟ آلودگی هوا امروز در چه وضعیتی است؟ فردا آفتابی می شود؟,بارانی - پاییزی - آفتابی - آلودگی - سرد ,برنامه را وسط اذان قطع می کنند؟ اذان صبح ساعت چند شده؟ ,اذان صبح ,ساعت در کالیفرنیا چند است؟ آیا در تورنتو نیمه شب است؟ تفاوت ساعت آمریکا با ایران چقدر است؟ اختلاف ساعت ما با اروپا چقدر است؟,تفاوت ساعت - آمریکا - کانادا - نیمه شب - اروپا ,این ماه چند تا مناسبت تعطیلی داریم؟ این ماه مناسبت خاصی داریم؟ مناسبت های زمستان بیشتر است یا بهار؟ چندتا عزاداری داریم این ماه؟ چند تا خوشحالی مذهبی داریم این ماه؟ تعطیلی غیرمذهبی هم داریم؟ ,تعطیلی - مذهبی- عزاداری - 
"هوا چند درجه است ؟
آیا هوا آلوده است ؟ 
کی هوا‌بارانی است ؟",هوا_باران _ تهران _ درجه ,"اذان مغرب ساعت چند است ؟ 
اذان ظهر ساعت چند است؟",اذان _ مغرب _ ساعت,"آمریکا ساعت چند است ؟ 
بیشترین تفاوت ساعت با ایران مربوط به کجاست؟
امروز چندمه؟","امروز
ساعت _ تاریخ _ چندم _ تفاوت ساعت ","تعطیلی های امسال چیست؟
امروز چه روزیست ؟
روز مادر کی است ؟ ",تعطیلی _ امروز _ مادر _ امسال _ محرم
"فردا هوا سرد است؟
هوای سرد برای کاشت چه نوع درختی متناسب است؟
اب و هوای این منطقه چگونه است؟
هوای تهران در هفته پیش رو چگونه است؟",,"اذان صبح در مشهد چه زمانی است؟
روزه در چه صورتی باطل میشود؟
اصول وضوع چگونه است؟
نماز شکسته در چه صورت است؟",,"
اختلاف ساعت در شهر های امریکا چقدر است؟
ساعت الان در چین چند است ؟
اختلاف ایران و کانادا چند ساعت است؟",,"روز مادر کی است؟
فردا به چه مناسبتی تعطیل است؟
تقویم سال جدید کی میاید؟ ",
"چرا برف نمیاد؟
چرا طوفان شده؟
هوای اطراف بندر چطوره؟
اونجا هوا سرده یا نه ؟
هواش خیلی شرجی نیست به نظرت؟","برف
طوفان
بندر
سرد
شرجی
نظرت","کی وقت نماز میشه؟
اذان رو کی میگن؟
اینجا اذان ساعت چنده؟
صبح کی پاشیم برا نماز؟","نماز
اذان","خانومی ساعتی چند؟
اون ور آب ساعتی چنده؟
اصلا ساعت چنده؟
جناب ساعت چنده؟","خانومی
ساعتی
آب
جناب","امروز چندمه ستون؟
داداش چند روز تا عید مونده؟
چندم میرسی مشتی؟
روز جهانی سرطان مغز کدوم ماه میشه؟
بیست روز دیگه چندمه؟","ستون
داداش
عید
مشتی
چندم
سرطان مغز
ماه
بیست 
روز
دیگه"
آیا امروز نیاز به چتر دارم؟‌// آیا لازم است کت بپوشم؟ // آیا امروز هوا بارانی است؟ // آیا امروز باران می بارد؟ // آخرین باری که هوا بارانی بود، کِی بود؟,آیا - امروز - نیاز به  - چتر // آیا - لازم - کت // آیا - امروز - هوا - بارانی // آیا - امروز - باران - می بارد // آخرین بار - هوا - بارانی - کِی بود,,,تهران با گرینویچ چند ساعت اختلاف دارد؟ // شانگهای چند ساعت از تهران جلوتر است؟ // پاریس چند ساعت از توکیو عقب تر است؟ // الان در تگزاس روز است یا شب؟ // خورشید کِی طلوع می کند؟,تهران - گرینویچ - چند ساعت - اختلاف // شانگهای - چند ساعت از - تهران - جلوتر // پاریس - چند ساعت از - توکیو - عقب تر // الان - تگزاس - روز - شب // خورشید - کِی - طلوع,مناسبت بعدی چیست؟ // چند روز تا سال نو مانده؟ // بزرگداشت کوروش بزرگ چه روزی است؟ // نزدیک ترین تعطیلی رسمی چه روزی است؟ // اول ژانویه مصادف با کدام روز تقویم خورشیدی است؟,مناسبت - بعدی // چند روز - سال نو // بزرگداشت - کوروش بزرگ - چه روزی // نزدیک ترین - تعطیلی رسمی - چه روزی // اول - ژانویه - مصادف - کدام روز - تقویم خورشیدی
امروز هوا به طرز عجیبی گرم است! // آیا هفته بعد هوا آفتابی میشود؟ // هوا در نیم کره جنوبی کره زمین الان چگونه است؟ // نظرت درباره آب و هوای جزایر قناری چیست؟,امروز - هوا - طرز عجیبی - گرم// هفته بعد - هوا - آفتابی // هوا - نیم کره جنوبی - کره زمین - الان // نظرت - آب و هوا - جزایر قناری,نماز صبح در قطب شمال چه ساعتی است؟ // آیا الان در بیجینگ وقت نماز عصر شده است؟ // فاصله اذان ظهر و مغرب تگزاس چقدر است؟ // چند دقیقه تا نیمه شب شرعی در سن لوپز مانده است؟,نماز صبح - قطب شمال // الان - بیجینگ - نماز عصر // فاصله - اذان ظهر - مغرب - تگزاس // چند دقیقه - نیمه شب شرعی - سن لوپز,ایا الان در مکزیک نیمه شب است؟ // ما با انگلستان چه قدر اختلاف زمانی داریم؟ // به نظرت الان در توکیو صبح شده؟ // در ملبورن الان وسط روز است؟,مکزیک - نیمه شب // انگلستان - اختلاف زمانی // به نظرت - توکیو - صبح // ملبورن - وسط روز,فردا عید است؟ // چه قدر مانده تا کریسمس؟ // فاصله روز جهانی درخت کاری و روز جهانی اعتیاد چه قدر است؟ // آیا  تعطیلات تابستان یک ماه دیگر است؟,فردا - عید // کریسمس // فاصله - روز جهانی درخت کاری - روز جهانی - اعتیاد // تعطیلات - تابستان - یک ماه
آیا هوا طوفانی میشه؟,هوا _ طوفانی,در قطب مردم کی نماز میخونن ؟؟,قطب - کی -نماز,اگر الان ۶ باشه فردا کی ساعت ۶ میشه؟,الان- ۶ فردا- ۶,روز دانشجو کی ؟؟,روز - دانشجو 
دیروز برف بارید؟ // الان هوا در زنجان ابری است؟ // تا کی قرار است باران ببارد؟ // فردا هوا چطور خواهد بود؟ // آیا آب و هوای زنجان سرد و خشک است؟ // این جا هوا خیلی خوب است,دیروز - برف // الان - هوا - زنجان - ابری // تا کی - باران - ببارد // فردا - هوا - چطور // آب و هوا - زنجان - سرد و خشک // اینجا - هوا - خیلی خوب,آیا در تهران اذان مغرب شده است؟ // در مشهد چقدر تا نیمه شب شرعی باقی مانده است؟ // اذان ظهر چه ساعتی است؟ // بین اذان ظهر و اذان مغرب در رشت چند ساعت فاصله است؟ // بین اذان صبح در تهران و زنجان چقدر فاصله زمانی هست؟,تهران - اذان مغرب // مشهد - نیمه شب شرعی // اذان ظهر // اذان ظهر - اذان مغرب - رشت // اذان صبح - تهران - زنجان,الان در ایروان ساعت چند است؟ // آیا الان در کابل ظهر است؟ // در سنندج آفتاب چه ساعتی غروب می کند؟,ایروان - ساعت // کابل - ظهر // سنندج - غروب,آیا فردا تعطیل است؟ // پس فردا عید است؟ // مناسبت امروز چیست؟ // روز جهانی چپ دست ها کی است؟,فردا - تعطیل // پس فردا - عید // مناسبت - امروز // روز جهانی چپ دست ها - کی
از کجا بدونم هوا چند درجه ست؟ من که صبح تا شب تو خونه خودمو حبس کردم (در واقع حبس شدم) چرا باید آب و هوای تخمی تهران یا هر جهنم دیگه ای به جاییم باشه؟ ,درجه، حبس، هوا، تخمی ,نماز نمی خونم که بخوام ساعت دقیق اوقات شرعی رو بدونم، ولی حوالی 12 اذان ظهر، حوالی 5 اذان مغرب، 11 شب هم حدودا قضا میشه. ,نماز، اذان، قضا,الان مردم اونور دنیا دارن چیکار میکنن؟ وقتی من دارم به کلاسای آنلاین کسشر گوش میدم، جایی مثل آمریکا که شبه چند نفر دارن واسه همدیگه میخورن؟ چند نفر دارن به قتل میرسن؟ چند نفر به دنیا میان؟ جالبه دونستن اینا. ,,دوست دارم یه بار روز جهانی بدون سوتین رو جشن بگیرم. خخخ,
"امروز هوا بارونی بود؟ 
نسبت به پارسال اینموقع هوای تهران سردتر شده؟
دمای کدوم شهر از همه تو ایران کمتره؟ ","امروز -بارونی 
پارسال همینموقع-سردتر
دما ایران کمتر","مدت زمان روزه گرفتن تو گدوم شهر ایران کمتره؟
طلوع افتاب کردستان امروز چه زمانی است؟",,"ساعت چنده؟
الان تو تورنتو شبه یا روز ؟ 
",,"روز پسر چندمه؟ 
عید قربان پارسال چه روزی از تاریخ شمسی بودی؟ ",
"کدام کشور سردترین آب و هوا را دارد؟
متنوع ترین منطقه ایران از نظر آب و هوایی کجاست؟
گرم ترین روز تهران در سال گذشته چه روزی بود؟
میانگین درجه هوای هند چقدر است؟
دمای هوای تهران در طی 10 سال اخیر چند درجه افزایش یافته است؟
","سردترین کشور
متنوع ترین/ ایران/ آب و هوا
گرم ترین/ تهران/ سال گذشته
میانگین/ درجه هوا/ هند
دما/ تهران/ 10 سال اخیر/ افزایش","اذان صبح تهران و وین چقدر تفاوت دارد؟
اذان مغرب از ابتدای یک ماه تا انتهای آن حدودا چقدر جا به جا میشود؟
بیشترین اختلاف زمانی در اذان صبح در کدام دو نقطه از ایران اتفاق می افتد؟
فاصله اذان صبح تا طلوع آفتاب دیروز چقدر بود؟","اذان صبح/ تهران/ وین
اذان مقرب/ ابتدای ماه/ انتها/ جابه جا
بیشترین اختلاف/ اذان صبح/ ایران
اذان صبح/ طلوع آفتاب/ دیروز","اختلاف زمانی تهران و مسکو چقدر است؟
الان ساعت در کالیفرنیا چند است؟
اختلاف زمانی میان شمالی ترین و جنوبی ترین ایالت آمریکا چقدر است؟
اگر در تهران ساعت 8 شب باشد در سیدنی ساعت چند است؟
","اختلاف زمانی/ تهران/ مسکو
الان/ ساعت/ کالیفرنیا
اختلاف زمانی/ شمالی ترین/ جنوبی ترین/ ایالت آمریکا
تهران/ ساعت 8/ سیدنی/ ساعت","روز صادرات چه روزی است؟
روز جهانی سرطان سینه چه روزی است؟
روز پدر امسال چه تاریخی است؟
عید فطر سال آینده چه روزی است؟","روز صدرات
روز جهانی سرطان سینه
روز پدر/امسال
عید فطر/ سال آینده"
هوای یک هفته پیش تورنتو چند درجه بود؟,هوا-یک هفته پیش-تورنتو-درجه,اذان ظهر تهران فردا چه زمانی است؟,اذان ظهر-تهران-فردا,ساعت لندن الان چند است؟,ساعت-لندن-الان,روز دانشجو سال بعد چه روزی است؟,روز دانشجو -سال بعد
هوا چقدر سرده، نه؟ هوا خیلی تاریکه. فردا آفتابیه؟ هوای مشهد چطوره؟ هفتهٔ آینده برف میاد؟,,اذانو کی می‌گن؟ اذان صبح اصفهان چقدر جلوتره؟ به اذان چقدر مونده؟ نیمه‌شب شرعی گذشت؟,,الآن نیویورک چه ساعتیه؟ الآن ونکوور شبه؟ ساعت هفت ما می‌شه چند لندن؟,,فردا عیده؟ روز جهانی زن مبارک. مگه فردا عیده که تعطیله؟  امسال اسفند سی روزه؟ هفتهٔ دیگه بین‌التعطلین داره؟ چقدر تا ماه رمضون مونده؟,
نظرت راجع به هوای امروز چیه؟ // هوا دونفره‌س. // تو این هوا بهتر نیست بریم بیرون؟ // هوا یه کم سرد نشده؟ // هوای شرجی غیرقابل‌تحمّله. // به نظرت آب‌وهوای مربوط از استوایی بهتر نیست؟ ,هوا - امروز - نظر // هوا - دونفره // هوا - بیرون - بریم // هوا - سرد // هوا - شرجی - غیرقابل‌تحمّل // آب‌وهوا - استوایی ,نمازِ مغرب کی قضا می‌شه؟ // نمازِ عیدِ فطر کی برپا می‌شه؟ // عیدِ فطر فرداست یا پس‌فردا؟ // طلوعِ آفتاب چه ساعتیه؟ // اذانِ ظهر کیه؟ ,نماز - مغرب - قضا // نماز - عید فطر // عیدِ فطر // طلوع آفتاب - ساعت // اذانِ ظهر ,چند ساعت دیگه می‌رسیم؟ // امروز کی کلاس داری؟ // اختلافِ ساعتِ ایران با آمریکا حدوداً چند ساعته؟ // فردا ساعتِ چند باید این‌جا باشم؟ // می‌شه نیم ساعت قبل از رفتنت به من خبر بدی؟ ,چند - ساعت - می‌رسیم // امروز - کی - کلاس // اختلافِ ساعت - ایران - آمریکا // فردا - ساعت // نیم ساعت - قبل - رفتنت - خبر ,تولّدت چندمِ آبانه؟ // جشنِ روزِ دانشکده سه دی بود یا چهار دی؟ // فردا مناسبتِ خاصّیه؟ // نظرت چیه به مناسبتِ روزِ مهندس یه جشن برگزار کنیم؟ // تقویمِ قمری چندروزه‌س؟ ,تولّدت - چندم // جشنِ روزِ دانشکده - دی // فردا - مناسبت // نظرت چیه - روزِ مهندس - جشن // تقویمِ قمری - چند روزه
سردترین دما در همدان چند درجه بوده است؟,سردترین - همدان - دما - درجه ,اذان صبح فردا همدان چه زمانی است؟,اذان صبح - همدان - فردا  ,اختلاف زمان ژاپن و ایران چقدر است؟ ,اختلاف زمان - ایران - ژاپن ,امسال کبیسه است؟ ,امسال - کبیسه 
کی دوباره بارون می آید؟ // چرا خونه انقدر سرده؟ // پارسال این موقع تهران بارون اومد //,بارون - تهران - برف - مه ,"ماه رمضون تهران زودتر اذان میشه یا اصفهان ؟
زمستون چرا انقدر زود مغرب میشه ؟
اذان صبح اصفهان چه ساعتیه؟",اذان - ماه رمضون - اصفهان - تهران- زمستون,"الان سئول ساعت چنده؟
الان شیلی ساعت چنده؟
اگه یه روز برم آفریقا اختلاف ساعتش با ایران چقدره؟",سئول / الان /شیلی / یه روز /آفریقا/ ایران,"چند روز تا کریسمس مونده؟
روز جهانی خبرنگار چه روزیه؟
چرا تولدم شهریوره؟
چرا نصف سپتامبر شهریوره نصف دیگش مهره؟",کریسمس/ خبرنگار/شهریور/مهر/سپتامبر
